type,category,review,star
SK매직 식기세척기,별점,걸래받이가 16.5센티라 상세설명보고 문을 제작했는데 약간 길어요~아랫부분이 일체감이 있어야 깔끔하게 빌트인 효과가 좋은데 그점이 좀 아쉽네요~그래도 설치기사님이 최대한 맞춰줬어요~ 소음은 좀 있는편이애요. 소리가 드럼세탁기 소리만큼 소음이 있네요~밤에 돌리는건 안될듯하고 저녁즘에 다 돌리고 자야할듯하고요~리뷰에 냄새가 난다는 말이 많던데 아주 조금 았는 정도라 신경쓰이지는 않았어요~세척력은 제가 처음이라 그릇을 잘 배열을 못해서인지 스텐재질은 만족스럽진 않구요. 사기그릇재질은 반딱반딱하게 잘 닦여서 나오네요~좀 더 내공을 쌓아서 사용해야 할듯해요~,평점4
SK매직 식기세척기,별점,"입주때 빌트인되어있던(십여년넘은듯)
DWA-7201B를 사용하다 고장나서
7303b로 주문했어요.
가격저렴 하고 그전에 썼던것도  만족했던터라~
이것도 만족할듯해요.
그리고 도어패널이 전꺼랑 맞을꺼같아서 (사이즈대충재보니) 주문안했는데
설치오셔서 하시더니  사이즈가 안맞더라고요.ㅠ
도어패널을  시키고
다시 오셔서 설치해주신다하더라고요.
두번걸음 하게 해드렸다는ㅠ
패널만 다시 시키자니 ㅠ
사이즈 그려달라해서
동네 목공소가서  대충 잘른다했어요.제가 그런거신경 안쓰는타입이라ㅎ전체적으로 저희 싱크대도 더러워서ㅎ근데 저같은경우로  비슷한 제품쓰다 바꾸시는거라도
도어패널 미리 주문하세요~~",평점4
SK매직 식기세척기,별점,"무료설치는 아니고 세제는 받았습니다.
싱크장분리 저도 할수 있을듯한데 그걸 5만원이나 받고 그거까지는 안내 되어 있어서 그려러니 했지만 끝장이라 또 뭐가 추가 되더라고요. 역시 추가추가가 기본이죠;;
전에 설치 기사님은 인덕션 거치대도 안내 해 주고 설치까지 해준다고 했았는데 이번에는 우리는 모르니 알라서 해라..
걸레받이 절단을 실내에서 해서 온집안이 나무가루로 난리였고.. 설치하는분도 잘 만나야 하는듯!
상품이 잘 못 된건 아니지만 이런 서비스라면 sk는 다시 구입하지 않을듯 합니다.",평점4
SK매직 식기세척기,별점,"장점: 고온살균, 소음 없음, 가성비 좋음
단점: 건조 기능이 6인용보다 못해요.

기존에 sk6인용 식세기를 만족하며 쓰다가 이번에 이사를 하면서 12인용 식세기 주문했어요. 그런데... 12인용은 건조가 원래 이런가요??? 6인용은 거의 완전건조가 됐었는데 이 제품은 그릇에 물이 흥건해요. 신기한 건 고온으로 세척한 거라 직후 만지면 엄청 뜨거워요. 이 정도 뜨거울 정도면 . 어쨌든 , 운행 중 소음 거의 없어요. +문열고 1시간 후에 보니까 그래도 많이 말랐어요. 수건으로 남은 물기만 닦아 정리했어요. 이왕 ^^",평점4
SK매직 식기세척기,별점,6인용 쓰다가 바꿨는데 많이 들어가 좋아요.냄비를 후라이팬 다 넣어서 돌려도 되고요. 애벌은 늘 해놓는 편이라 깨끗이 잘 닦여요. 설치가 미흡해서 한번 더 오셔서 손봐주셨어요. 워낙 저희집 주방 바닥이 고르지 못한것이 문제였지만 조금 틀어져 있는 식기세척기 보면 좀 완벽하진 않아요. 그래도 잘 돌아가고 잘 닦이니 만족하려구요,평점4
SK매직 식기세척기,별점,"시간이 표준기능한시간 정도 걸려요..조금 더 빠르면 좋겠지만. 그래도 설거지 직접 할때보다 편리하긴 합니다. 냄비나 조리도구등 나무나 실리콘으로 된것을 제외해야되서 조금 불편할때도 있어요.
문을 열고 닫을때 물이샐까바 걱정했는데 한번도 새지않네요.
소음도 아주 작진 않지만 가까운곳에 있지 않으면 신경이 크게 쓰이진 않습니다. 잘 사용 하고 있어요",평점4
SK매직 식기세척기,별점,"좋아요
신청하고 아주 빨리 설치 진행했어요
주의사항 설명주셨구요
세제 주셨구요
뜨거운 물(75도라고하셨음)로 씻어서 건조되니
문 열어두면 깔끔하게 마르구요
처음에는 냄새가 좀 나서 다시 씼었어요
손으로 닦고 여러번헹구는것보다 깨끗이 닦이는거같진 않지만
수고를 덜고 물을 아끼고 시간을 번다는 것 만으로도 설치할 필요가 확실합니다",평점4
SK매직 식기세척기,별점,"싱크설치하면서 주문했는데 무척깔끔해요.
문열림기능 있는거로 하려다가 돈도 아끼고 가장 깔끔해보여서 이걸로 픽했는데 맘에 드네요. 어차피 집에 있을때 세척기 돌려서 다 되면 살짝 문열어 두고 말려요. 보내준 식기린스랑 같이 사용하니 그릇에 얼룩도 안생기고 좋네요.
다만 첨 일주일가량동안 세척기돌리면 아스콘냄새? 그게 너무 심하네요.",평점4
SK매직 식기세척기,별점,"잘 설치했어요. 공사비 15만원 들었어요. 일주일째 사용중인데 냄새가 좀 나요... 작동은 잘 되는데, 기대했던만큼 신세계는 아니예요. 애벌설거지 안하면 무용지물이라 애벌에 신경을 엄청 쏟게 되네요. 그리고 그릇배치도 잘 해야되고... 일이 줄어드는건 맞는데 그렇게 편리한건 모르겠어요...",평점4
SK매직 식기세척기,별점,"아파트 인테리어 하면서 도장싱크대에 맞춰 도어패널형으로 설치했는데 아주 딱 맞네요. 물론 그 전에 정확한 치수를 재야 하고 설치하실 때 애를 먹으셨지만 매우 저렴한 가격에 예쁜 식세기를 설치한 듯해 가성비, 가심비 다 만족입니다.",평점4
