type,category,review,star
SK매직 식기세척기,별점,"아주맘에듭니다 씐나요 여러분 식기세척기 꼭 사세요 두번사세요♡
그런데 설치기사님이... 설치하면서 부엌을 초토화시키고 그냥갔습니다... 후처리를 정말 그렇게하고 가는분 처음봤어요.. 아기젖병과 온갖 식재료 수저 그릇들이있는 부엌에서 전기톱으로 나무를 자르더군요.. 베란다에서 해달라고 부탁을해도 엄청 귀찮은얼굴로 금방끝낸다며.. 뭐 전문가니 알아서해주겟지 하고 있었는데 전기톱으로 싱크나무를 자르는순간.. 멘붕... 와.... 냉장고 위부터 살겆이건조대 분유포트 가스렌지 머 암튼 부엌의모든곳에 누렇게 합판가루가 꼼꼼히 앉았다고 샹각하면 됩니다. 그날 부엌대청소하고 젖병설겆이 몽땅하느라 골병나는줄알았어요. 이 모든걸 10개월 아기와 30개웡 날라다니는 아들을 두고 했습니다.
이거 배상청구해도 되나요? 청소비용 청구하고싶어요.
판매자님 연락주시겠어요?",평점1
SK매직 식기세척기,별점,제가 뽑기 운이 없나봐요. 구입하고 한달하고 며칠 지난뒤부터 배수 문제 생겼고 A/s 접수할때마다 기사님 방문까지 3-5일 소요(식세기 못씀..) 같은문제로 3회 방문.(물론중간중간에 식세기 못썼어요) 그런데 이번에는 또 기능 문제(열탕소독 선택시 불림세척으로 됨..) 애기 있어서 일부러 열탕소독 모델 산건데.. 기사님 방문까지는 일주일 소요.. 제품 좋다고 산건데 제품도 이상한거 걸렸지만 서비스센터 방침이 소비자로서는 너무 불편한점이 많아요. 한두푼도 아니고 잘 고려하고 구입하시길 바랍니다.,평점1
SK매직 식기세척기,별점,그릇이 잘 안닦여요..세제도 남아있고..후라이팬 닦아보니 세제가 그대로여서 너무 놀랐습니다. 개인적으로 아쉽습니다.,평점1
SK매직 식기세척기,별점,전혀안되고 있습니다. 불량인건지 원래 이런건지..매번 안되는것들 땜 오히려 스트레스 받아요ㅜ,평점1
SK매직 식기세척기,별점,"기사님이 마루 찍고 싱크대 찍고..
스크래치
엄청 내고 가셨어요.",평점1
SK매직 식기세척기,별점,아주 저렴하게 사서 가성비는 좋아요. 그러나 일단 내부 그릇 배열이 매우 불편해요. 제가 이것말고 12인용은 시댁에서 동양꺼 엘땡거 두개 더 써봤는데 이게 제일 불편하고세척력 별루여요. 돈 더 주시고 딴거 사세요,평점2
SK매직 식기세척기,별점,트루스팀이 아니어서일까요? 애벌을 해서 집어넣은 식기도 깨끗하게 닦이지 않는 경우가 있습니다.,평점2
SK매직 식기세척기,별점,수저통이 딱 맞지 않고 따로 노네요. 저렴해서 구매했지만 여러모로 불편한 점이 많습니다.,평점2
SK매직 식기세척기,별점,"설치기사님 별로네요
아직 사용전이라
제품 확인은 안됩니다",평점2
SK매직 식기세척기,별점,젓바락넣는통이 넓어 밑으루 빠집니다,평점2
